Experiment #, Object #, Mass (g), Length (cm), Height (cm), Width (cm), V_water (m/s), V_air (m/s)
1,1,8,5,5,10,0.147,0.8
2,1,60.8,5,5,10,0.147,2.1
3,1,115,5,5,10,0.06,2.2
4,2,16.5,5,5,19.5,0.11,0.5
5,2,66.5,5,5,19.5,0.11,1
6,2,125,5,5,19.5,0.11,1.7
7,2,47.3,5,5,19.5,0.11,0.8
8,2,97.3,5,5,19.5,0.11,1.4
9,2,146.8,5,5,19.5,0.11,1.9
10,2,296,5,5,19.5,0.06,2
11,2,336,5,5,19.5,0.06,2.8
12,2,446,5,5,19.5,0.06,4.2
13,3,37.5,9,5,10,0.11,0.8
14,3,87.3,9,5,10,0.11,1.4
15,3,137,9,5,10,0.11,1.9
16,3,137,9,5,10,0.06,1.1
17,3,187,9,5,10,0.06,1.3
18,3,237,9,5,10,0.06,2.5
19,3,285,9,5,10,0.06,2.4
20,3,337,9,5,10,0.06,4.1
21,3,377,9,5,10,0.06,4.3
22,4,14.5,5,5,5,0.11,1
23,4,34.7,5,5,5,0.11,1.7
24,4,56,5,5,5,0.11,2.3
25,4,74,5,5,5,0.11,3.4
26,4,94.8,5,5,5,0.11,4.1
27,4,21,5,5,5,0.06,0.8
28,4,35.5,5,5,5,0.06,1
29,4,46,5,5,5,0.06,1.4
30,4,97,5,5,5,0.06,3.7